x1,x2,x3,x4
0.82838535,0.74346697,0.72979393,0.75441885
0.78533424,0.72732174,0.73816964,0.74975094
0.7516404,0.74154219,0.71663327,0.76294812
0.73310465,0.70112915,0.69786198,0.74697635
0.72522535,0.71634393,0.68174304,0.74816635
0.72616384,0.6863708,0.68178752,0.73144833
0.73941434,0.66063687,0.68432917,0.72331823
0.65897475,0.63376846,0.66216845,0.64647833
0.43895879,0.59479557,0.60700396,0.47560375
0.35235586,0.45572134,0.485667,0.35332271
0.29148455,0.3520204,0.37503947,0.34992562
0.26478434,0.3151092,0.34543366,0.30730771
0.23766414,0.31669776,0.35841914,0.2625151
0.24919798,0.32699498,0.35389644,0.25436938
0.27079859,0.33650537,0.36620396,0.2516526
0.27498707,0.34551085,0.38656158,0.27988813
0.31440061,0.36302249,0.40083644,0.30564479
0.36340061,0.38646637,0.4160402,0.31607458
0.45696152,0.46804791,0.50183182,0.40213833
0.57441636,0.54271353,0.56534917,0.50004938
0.63982747,0.59542687,0.6719398,0.66866604
0.69984848,0.67635403,0.71170541,0.72356802
0.74900101,0.6896202,0.72593102,0.78341708
0.80012384,0.72971537,0.75925934,0.8215076
