x1,x2,x3,x4,x5
1.0,0.58595871,0.60410404,0.62840021,0.55565802
2.0,0.55921786,0.52936717,0.59998073,0.53907175
3.0,0.54757448,0.5100602,0.55163927,0.53164145
4.0,0.51166463,0.49430626,0.51142646,0.49376455
5.0,0.48273846,0.42786606,0.45061354,0.47465281
6.0,0.44691771,0.36200495,0.39494167,0.4361862
7.0,0.45022219,0.32665152,0.34539656,0.44312713
8.0,0.40419507,0.21354788,0.23525188,0.43090251
9.0,0.36522473,0.20378222,0.2052249,0.38951426
10.0,0.32449522,0.21726939,0.21153354,0.34731934
11.0,0.33197831,0.20612586,0.22430583,0.30604805
12.0,0.33339104,0.2001699,0.22310448,0.33044218
13.0,0.35220701,0.20944919,0.24197375,0.36510693
14.0,0.39633607,0.2246599,0.23043781,0.38049043
15.0,0.40989557,0.25532273,0.29546875,0.40945274
16.0,0.4074298,0.26346222,0.30673844,0.43438983
17.0,0.40922204,0.33439515,0.3290901,0.47015993
18.0,0.43294632,0.41232384,0.42237417,0.49495182
19.0,0.48762567,0.48283848,0.5178501,0.53998931
20.0,0.53963085,0.57374343,0.63311365,0.59860508
21.0,0.54146771,0.62346121,0.69352542,0.61320581
22.0,0.5668993,0.66117919,0.67556885,0.61413122
23.0,0.55417279,0.66464859,0.65524792,0.59815327
24.0,0.55515075,0.67578061,0.62510885,0.59338376
